,fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long
186,6001,Alameda,California,CA,807171,836529,37.4,1643700,50.89304617630954,37.646893227585394,-121.88886747655657
187,6003,Alpine,California,CA,612,534,44.3,1146,46.596858638743456,38.59719676739881,-119.82066974618066
188,6005,Amador,California,CA,20302,17527,50.5,37829,46.332179016098756,38.44639149036272,-120.65109333340908
189,6007,Butte,California,CA,112513,114562,37.1,227075,50.45117252009248,39.6669353446951,-121.60068082611363
190,6009,Calaveras,California,CA,22434,22801,52.1,45235,50.40565933458605,38.20459548169672,-120.55412801084057
191,6011,Colusa,California,CA,11124,10340,35.1,21464,48.1736861721953,39.17748403490378,-122.23695912321348
192,6013,Contra Costa,California,CA,553701,579546,39.4,1133247,51.14030745283243,37.91912233692718,-121.92778819106958
193,6015,Del Norte,California,CA,14575,12849,38.6,27424,46.85312135355893,41.743134903278985,-123.89724002308719
194,6017,El Dorado,California,CA,93040,93621,45.8,186661,50.15562972447378,38.778735497141675,-120.52465737213436
195,6019,Fresno,California,CA,487936,490194,32.0,978130,50.11542433009928,36.75819763981456,-119.6493072370918
196,6021,Glenn,California,CA,14171,13726,36.6,27897,49.2024231996272,39.59820149120442,-122.39199901384107
197,6023,Humboldt,California,CA,67666,68102,38.0,135768,50.16056802781215,40.699297540642156,-123.87562886590824
198,6025,Imperial,California,CA,92250,87966,32.4,180216,48.81142628845386,33.03951207342643,-115.3653511508614
199,6027,Inyo,California,CA,9084,9001,45.7,18085,49.77052806192978,36.511113761044115,-117.41074797719436
200,6029,Kern,California,CA,452646,430407,31.5,883053,48.74078905796143,35.342864363470284,-118.72991638751208
201,6031,Kings,California,CA,82674,67401,31.7,150075,44.91154422788605,36.075343710085036,-119.8155506566914
202,6033,Lake,California,CA,31879,32269,45.6,64148,50.30398453576105,39.099617207452845,-122.75318988686426
203,6035,Lassen,California,CA,20671,10514,36.0,31185,33.71492704826038,40.673589098637045,-120.59431538478664
204,6037,Los Angeles,California,CA,4976788,5121264,36.2,10098052,50.715365696274894,34.3207429592211,-118.22480998416323
205,6039,Madera,California,CA,74683,80330,33.9,155013,51.82146013560153,37.21799210274101,-119.76267044541183
206,6041,Marin,California,CA,127113,133182,46.5,260295,51.16579265832997,38.07338555626221,-122.72341555726419
207,6043,Mariposa,California,CA,8920,8620,51.4,17540,49.1448118586089,37.58150820256936,-119.90542609837362
208,6045,Mendocino,California,CA,43439,43983,42.8,87422,50.311134497037365,39.44022410166245,-123.3914726207048
209,6047,Merced,California,CA,135816,133259,30.9,269075,49.52485366533495,37.191889864977696,-120.71765231288776
210,6049,Modoc,California,CA,4613,4325,47.7,8938,48.38890132020586,41.58981656312058,-120.72501563385927
211,6051,Mono,California,CA,7341,6833,38.3,14174,48.20798645407083,37.93908943424993,-118.88684313219679
212,6053,Monterey,California,CA,220967,212245,34.1,433212,48.99333351800042,36.21715890998017,-121.23920059946272
213,6055,Napa,California,CA,70082,70448,41.1,140530,50.13022130505942,38.506485447294324,-122.33051811517599
214,6057,Nevada,California,CA,48889,50203,50.1,99092,50.66302022363056,39.301363059753385,-120.76845107342852
215,6059,Orange,California,CA,1562429,1601753,37.8,3164182,50.621392827593354,33.702972184170065,-117.7610700312427
216,6061,Placer,California,CA,185511,194566,41.9,380077,51.19120599246994,39.063459567996674,-120.71755875765687
217,6063,Plumas,California,CA,9423,9276,52.2,18699,49.60693085191721,40.004638434438725,-120.83854565296976
218,6065,Riverside,California,CA,1186188,1197098,35.3,2383286,50.228885664582435,33.74366319247109,-115.99380653350666
219,6067,Sacramento,California,CA,737742,772281,36.0,1510023,51.143658076731285,38.449316848852774,-121.34425336568763
220,6069,San Benito,California,CA,29626,29790,35.5,59416,50.138009963646155,36.60569063230486,-121.0749692523152
221,6071,San Bernardino,California,CA,1062472,1072941,33.1,2135413,50.245128225781144,34.84139921238718,-116.17840998570631
222,6073,San Diego,California,CA,1661931,1640902,35.6,3302833,49.681652084740584,33.034136709370166,-116.73529293376949
223,6075,San Francisco,California,CA,443970,426074,38.2,870044,48.9715462666256,37.756164368655135,-122.44304167780714
224,6077,San Joaquin,California,CA,364612,367600,34.1,732212,50.20403926731603,37.93475478900825,-121.27139238365105
225,6079,San Luis Obispo,California,CA,142769,138686,39.1,281455,49.274662024124645,35.38708293547382,-120.40451599116749
226,6081,San Mateo,California,CA,377851,388084,39.6,765935,50.668007076318496,37.422897430599754,-122.32901654128041
227,6083,Santa Barbara,California,CA,222208,221530,33.7,443738,49.92360356787113,34.672879885387175,-120.01647340776172
228,6085,Santa Clara,California,CA,970469,951731,37.0,1922200,49.51258974092186,37.23178502981293,-121.69512630659516
229,6087,Santa Cruz,California,CA,135727,138038,37.4,273765,50.42207732909613,37.0561884879364,-122.00184962661213
230,6089,Shasta,California,CA,87859,91226,41.8,179085,50.94005639779993,40.763713268106386,-122.04049900154385
231,6091,Sierra,California,CA,1542,1388,55.5,2930,47.37201365187714,39.580326202324656,-120.51599521126568
232,6093,Siskiyou,California,CA,21706,21834,48.0,43540,50.14699127239321,41.592675402058475,-122.5403512604914
233,6095,Solano,California,CA,217931,220599,37.9,438530,50.30419811643445,38.26997290684727,-121.93285185686705
234,6097,Sonoma,California,CA,245196,256121,41.7,501317,51.08962991480441,38.52828658778606,-122.88740786017405
235,6099,Stanislaus,California,CA,266844,272457,34.0,539301,50.52039584573365,37.559134084648015,-120.99768806978115
236,6101,Sutter,California,CA,47789,48083,35.7,95872,50.153329439252346,39.03457772739615,-121.6948438167805
237,6103,Tehama,California,CA,31504,31869,40.9,63373,50.28797752986287,40.12562627265812,-122.2340586020686
238,6105,Trinity,California,CA,6582,6280,51.8,12862,48.825999067019126,40.6506992937221,-123.11263968581837
239,6107,Tulare,California,CA,230255,230222,30.8,460477,49.99641675914324,36.220165516077145,-118.80048756434681
240,6109,Tuolumne,California,CA,28102,25830,48.4,53932,47.89364384780836,38.027588914238436,-119.95475499078795
241,6111,Ventura,California,CA,419588,428524,37.9,848112,50.52681721282095,34.45650805886403,-119.08363317379286
242,6113,Yolo,California,CA,104375,110602,31.0,214977,51.448294468710614,38.68661923435762,-121.9015698149292
243,6115,Yuba,California,CA,38468,37025,32.5,75493,49.044282251334565,39.26900718329727,-121.3512642631278
